Student_ID,College,Year_Level,Prior_GWA,Final_Grade,Reading_Dependency_Score,Writing_Dependency_Score,Numeracy_Dependency_Score,Motivation_Score,Environment_Score,AI_Dependency_Index,AI_Sessions_Week,Avg_Session_Duration_Min,AI_Tools_Count,Primary_AI_Tool,Usage_Purpose_Buckets,Study_Hours_Per_Week,Assignment_Submission_Punctuality,LMS_Activity_Level,Grade_Improvement_Delta,High_Risk_Flag
C071,College of International Hospitality and Tourism Management,4,3.05,3.15,4.7,5.0,4.4,5.8,5.4,4.7,5,20,4,Gemini,Summary,13,0.96,22,0.10,0
C072,College of Criminal Justice Education,1,3.60,3.70,3.8,4.0,3.7,6.3,5.9,3.8,4,14,3,ChatGPT,Brainstorming,12,0.98,27,0.10,0
C073,College of Teacher Education,3,3.25,3.40,3.2,3.5,3.1,6.8,6.4,3.3,2,10,2,Grammarly,Essay writing,15,0.99,29,0.15,0
C074,College of Engineering,2,3.10,2.95,5.9,6.2,6.6,4.4,4.1,6.2,10,45,6,ChatGPT,Coding,7,0.86,14,-0.15,1
C075,College of Computer Studies,4,3.25,3.35,4.0,4.2,4.6,6.1,5.6,4.3,5,22,4,Gemini,Problem-solving,15,0.96,24,0.10,0
C076,College of Business Administration and Accountancy,1,3.70,3.75,3.3,3.5,3.2,6.9,6.5,3.3,2,10,2,Grammarly,Proofreading,17,0.99,30,0.05,0
C077,College of Industrial Technology,2,2.85,2.75,6.0,6.3,5.8,4.2,4.7,6.0,8,35,5,ChatGPT,Problem-solving,6,0.83,11,-0.10,1
C078,College of Arts and Sciences,3,3.50,3.65,3.6,3.8,3.5,6.7,6.2,3.6,3,14,3,ChatGPT,Research,15,0.98,28,0.15,0
C079,College of International Hospitality and Tourism Management,1,3.10,3.20,4.6,4.9,4.3,5.9,5.5,4.6,5,18,4,Gemini,Summary,13,0.97,23,0.10,0
C080,College of Criminal Justice Education,4,3.65,3.75,3.7,3.9,3.6,6.4,6.0,3.7,3,13,2,ChatGPT,Brainstorming,15,0.99,28,0.10,0
C081,College of Teacher Education,2,3.30,3.45,3.1,3.4,3.0,6.9,6.5,3.2,2,10,2,Grammarly,Essay writing,16,0.99,30,0.15,0
C082,College of Engineering,3,3.00,2.85,6.0,6.3,6.7,4.2,3.9,6.3,10,48,6,ChatGPT,Coding,6,0.84,13,-0.15,1
C083,College of Computer Studies,1,3.30,3.40,3.9,4.1,4.5,6.2,5.7,4.2,4,20,4,Gemini,Problem-solving,12,0.97,25,0.10,0
C084,College of Business Administration and Accountancy,4,3.75,3.80,3.2,3.4,3.1,7.0,6.6,3.2,2,10,2,Grammarly,Proofreading,18,0.99,30,0.05,0
C085,College of Industrial Technology,3,2.90,2.80,5.9,6.2,5.7,4.3,4.8,5.9,8,32,4,ChatGPT,Problem-solving,7,0.85,12,-0.10,1
C086,College of Arts and Sciences,4,3.55,3.70,3.5,3.7,3.4,6.8,6.3,3.5,3,13,3,ChatGPT,Research,16,0.99,29,0.15,0
C087,College of International Hospitality and Tourism Management,2,3.15,3.25,4.5,4.8,4.2,6.0,5.6,4.5,5,16,4,Gemini,Summary,14,0.98,24,0.10,0
C088,College of Criminal Justice Education,3,3.70,3.80,3.6,3.8,3.5,6.5,6.1,3.6,3,12,2,ChatGPT,Brainstorming,16,0.99,29,0.10,0
C089,College of Teacher Education,1,3.35,3.50,3.0,3.3,2.9,7.0,6.6,3.1,2,10,2,Grammarly,Essay writing,17,1.00,30,0.15,0
C090,College of Engineering,4,2.95,2.80,6.1,6.4,6.8,4.0,3.7,6.4,11,50,6,ChatGPT,Coding,5,0.82,12,-0.15,1
C091,College of Computer Studies,2,3.35,3.45,3.8,4.0,4.4,6.3,5.8,4.1,4,18,3,Gemini,Problem-solving,13,0.98,26,0.10,0
C092,College of Business Administration and Accountancy,3,3.80,3.85,3.1,3.3,3.0,7.0,6.7,3.1,2,10,2,Grammarly,Proofreading,18,1.00,30,0.05,0
C093,College of Industrial Technology,4,2.95,2.85,5.8,6.1,5.6,4.4,4.9,5.8,8,30,4,ChatGPT,Problem-solving,7,0.87,13,-0.10,1
C094,College of Arts and Sciences,1,3.60,3.75,3.4,3.6,3.3,6.9,6.4,3.4,3,12,2,ChatGPT,Research,17,0.99,30,0.15,0
C095,College of International Hospitality and Tourism Management,3,3.20,3.30,4.4,4.7,4.1,6.1,5.7,4.4,5,15,4,Gemini,Summary,14,0.99,25,0.10,0
C096,College of Criminal Justice Education,2,3.75,3.85,3.5,3.7,3.4,6.6,6.2,3.5,3,11,2,ChatGPT,Brainstorming,17,1.00,30,0.10,0
C097,College of Teacher Education,4,3.40,3.55,3.5,3.8,3.4,6.3,5.9,3.6,3,15,3,Grammarly,Essay writing,15,0.97,27,0.15,0
C098,College of Engineering,1,3.20,3.05,5.4,5.7,6.1,4.8,4.5,5.7,8,35,5,ChatGPT,Coding,8,0.90,17,-0.15,1
C099,College of Computer Studies,3,3.40,3.50,3.7,4.0,4.3,6.4,5.9,4.0,4,16,3,Gemini,Problem-solving,14,0.99,27,0.10,0
C100,College of Business Administration and Accountancy,2,3.40,3.45,3.7,3.9,3.6,6.4,6.0,3.7,3,14,3,Grammarly,Proofreading,15,0.98,27,0.05,0
C101,College of Industrial Technology,1,3.00,2.90,5.7,6.0,5.5,4.5,5.0,5.7,7,28,4,ChatGPT,Problem-solving,8,0.89,14,-0.10,1
C102,College of Arts and Sciences,2,3.05,3.20,4.0,4.2,3.9,6.0,5.5,4.0,5,18,4,ChatGPT,Research,12,0.95,22,0.15,0
C103,College of International Hospitality and Tourism Management,4,3.25,3.35,4.3,4.6,4.0,6.2,5.8,4.3,4,14,3,Gemini,Summary,15,0.99,26,0.10,0
C104,College of Criminal Justice Education,1,3.30,3.40,3.9,4.1,3.8,6.2,5.8,3.9,4,15,3,ChatGPT,Brainstorming,13,0.97,26,0.10,0
C105,College of Teacher Education,3,2.80,2.95,4.0,4.3,3.9,6.1,5.6,4.1,4,18,3,Grammarly,Essay writing,12,0.95,24,0.15,0
C106,College of Engineering,2,2.90,2.75,6.0,6.3,6.7,4.1,3.8,6.3,10,48,6,ChatGPT,Coding,6,0.83,13,-0.15,1
C107,College of Computer Studies,4,2.90,3.00,4.3,4.6,4.9,5.8,5.3,4.6,6,25,4,Gemini,Problem-solving,12,0.94,21,0.10,0
C108,College of Business Administration and Accountancy,1,3.35,3.40,3.8,4.0,3.7,6.3,5.9,3.8,4,16,3,Grammarly,Proofreading,14,0.97,26,0.05,0
C109,College of Industrial Technology,2,3.05,2.95,5.6,5.9,5.4,4.6,5.1,5.6,7,26,4,ChatGPT,Problem-solving,8,0.91,15,-0.10,0
C110,College of Arts and Sciences,3,3.10,3.25,3.9,4.1,3.8,6.2,5.7,3.9,4,19,3,ChatGPT,Research,12,0.96,23,0.15,0
C111,College of International Hospitality and Tourism Management,1,3.30,3.40,4.2,4.5,3.9,6.3,5.9,4.2,4,13,3,Gemini,Summary,15,0.99,27,0.10,0
C112,College of Criminal Justice Education,4,3.35,3.45,3.8,4.0,3.7,6.3,5.9,3.8,4,14,3,ChatGPT,Brainstorming,14,0.98,27,0.10,0
C113,College of Teacher Education,2,2.85,3.00,3.9,4.2,3.8,6.2,5.7,4.0,4,17,3,Grammarly,Essay writing,12,0.96,23,0.15,0
C114,College of Engineering,3,2.85,2.70,6.1,6.4,6.8,4.0,3.7,6.4,11,50,6,ChatGPT,Coding,5,0.81,12,-0.15,1
C115,College of Computer Studies,1,2.95,3.05,4.2,4.5,4.8,5.9,5.4,4.5,6,24,4,Gemini,Problem-solving,12,0.95,21,0.10,0
C116,College of Business Administration and Accountancy,4,3.40,3.45,3.7,3.9,3.6,6.4,6.0,3.7,3,15,3,Grammarly,Proofreading,15,0.98,27,0.05,0
C117,College of Industrial Technology,3,3.10,3.00,5.5,5.8,5.3,4.7,5.2,5.5,7,24,4,ChatGPT,Problem-solving,9,0.93,16,-0.10,0
C118,College of Arts and Sciences,1,3.15,3.30,3.8,4.0,3.7,6.3,5.8,3.8,4,17,3,ChatGPT,Research,13,0.96,24,0.15,0
C119,College of International Hospitality and Tourism Management,2,3.35,3.45,4.1,4.4,3.8,6.4,6.0,4.1,3,12,3,Gemini,Summary,16,1.00,28,0.10,0
C120,College of Criminal Justice Education,3,3.40,3.50,3.7,3.9,3.6,6.4,6.0,3.7,3,13,2,ChatGPT,Brainstorming,15,0.99,28,0.10,0
C121,College of Teacher Education,4,2.90,3.05,3.8,4.1,3.7,6.3,5.8,3.9,4,16,3,Grammarly,Essay writing,13,0.97,24,0.15,0
C122,College of Engineering,1,2.80,2.65,6.2,6.5,6.9,3.9,3.6,6.5,12,52,6,ChatGPT,Coding,4,0.79,11,-0.15,1
C123,College of Computer Studies,2,3.00,3.10,4.1,4.4,4.7,6.0,5.5,4.4,5,23,4,Gemini,Problem-solving,12,0.95,22,0.10,0
C124,College of Business Administration and Accountancy,3,3.45,3.50,3.6,3.8,3.5,6.5,6.1,3.6,3,14,3,Grammarly,Proofreading,16,0.98,28,0.05,0
C125,College of Industrial Technology,4,3.15,3.05,5.4,5.7,5.2,4.8,5.3,5.4,6,22,4,ChatGPT,Problem-solving,9,0.95,17,-0.10,0
C126,College of Arts and Sciences,2,3.20,3.35,3.7,3.9,3.6,6.4,5.9,3.7,4,16,3,ChatGPT,Research,13,0.97,25,0.15,0
C127,College of International Hospitality and Tourism Management,3,3.40,3.50,4.0,4.3,3.7,6.5,6.1,4.0,3,11,2,Gemini,Summary,16,1.00,29,0.10,0
C128,College of Criminal Justice Education,1,3.45,3.55,3.6,3.8,3.5,6.5,6.1,3.6,3,12,2,ChatGPT,Brainstorming,15,0.99,29,0.10,0
C129,College of Teacher Education,2,2.95,3.10,3.7,4.0,3.6,6.4,5.9,3.8,4,15,3,Grammarly,Essay writing,13,0.97,25,0.15,0
C130,College of Engineering,3,2.75,2.60,6.3,6.6,7.0,3.8,3.5,6.6,12,54,6,ChatGPT,Coding,4,0.77,10,-0.15,1
C131,College of Computer Studies,4,3.05,3.15,4.0,4.3,4.6,6.1,5.6,4.3,5,22,4,Gemini,Problem-solving,13,0.96,23,0.10,0
C132,College of Business Administration and Accountancy,1,3.50,3.55,3.5,3.7,3.4,6.6,6.2,3.5,3,13,2,Grammarly,Proofreading,16,0.99,29,0.05,0
C133,College of Industrial Technology,2,3.20,3.10,5.3,5.6,5.1,4.9,5.4,5.3,6,20,4,ChatGPT,Problem-solving,10,0.97,18,-0.10,0
C134,College of Arts and Sciences,3,3.25,3.40,3.6,3.8,3.5,6.5,6.0,3.6,3,15,3,ChatGPT,Research,14,0.98,26,0.15,0
C135,College of International Hospitality and Tourism Management,4,3.45,3.55,3.9,4.2,3.6,6.6,6.2,3.9,3,10,2,Gemini,Summary,17,1.00,30,0.10,0
C136,College of Criminal Justice Education,2,3.50,3.60,3.5,3.7,3.4,6.6,6.2,3.5,3,11,2,ChatGPT,Brainstorming,16,0.99,30,0.10,0
C137,College of Teacher Education,1,3.00,3.15,3.6,3.9,3.5,6.5,6.0,3.7,3,14,3,Grammarly,Essay writing,14,0.98,26,0.15,0
C138,College of Engineering,4,2.70,2.55,6.4,6.7,7.1,3.7,3.4,6.7,12,56,6,ChatGPT,Coding,3,0.75,9,-0.15,1
C139,College of Computer Studies,3,3.10,3.20,3.9,4.2,4.5,6.2,5.7,4.2,4,21,4,Gemini,Problem-solving,13,0.97,24,0.10,0
C140,College of Business Administration and Accountancy,2,3.55,3.60,3.4,3.6,3.3,6.7,6.3,3.4,2,12,2,Grammarly,Proofreading,17,0.99,30,0.05,0
C141,College of Industrial Technology,1,3.25,3.15,5.2,5.5,5.0,5.0,5.5,5.2,6,18,3,ChatGPT,Problem-solving,10,0.98,19,-0.10,0
C142,College of Arts and Sciences,4,3.30,3.45,3.5,3.7,3.4,6.6,6.1,3.5,3,14,3,ChatGPT,Research,15,0.98,27,0.15,0
C143,College of International Hospitality and Tourism Management,3,3.50,3.60,3.8,4.1,3.5,6.7,6.3,3.8,3,9,2,Gemini,Summary,17,1.00,30,0.10,0
C144,College of Criminal Justice Education,1,3.55,3.65,3.4,3.6,3.3,6.7,6.3,3.4,3,10,2,ChatGPT,Brainstorming,17,1.00,30,0.10,0
C145,College of Teacher Education,3,3.05,3.20,3.5,3.8,3.4,6.6,6.1,3.6,3,13,2,Grammarly,Essay writing,14,0.98,27,0.15,0
C146,College of Engineering,2,3.15,3.00,5.6,5.9,6.3,4.6,4.3,5.9,9,40,5,ChatGPT,Coding,8,0.88,16,-0.15,1
C147,College of Computer Studies,1,3.15,3.25,3.8,4.1,4.4,6.3,5.8,4.1,4,20,4,Gemini,Problem-solving,14,0.97,25,0.10,0
C148,College of Business Administration and Accountancy,4,3.60,3.65,3.3,3.5,3.2,6.8,6.4,3.3,2,11,2,Grammarly,Proofreading,17,0.99,30,0.05,0
C149,College of Industrial Technology,3,3.30,3.20,5.1,5.4,4.9,5.1,5.6,5.1,5,16,3,ChatGPT,Problem-solving,11,0.99,20,-0.10,0
C150,College of Arts and Sciences,2,3.35,3.50,3.4,3.6,3.3,6.7,6.2,3.4,3,13,3,ChatGPT,Research,16,0.99,28,0.15,0
C151,College of International Hospitality and Tourism Management,1,3.55,3.65,3.7,4.0,3.4,6.8,6.4,3.7,3,8,2,Gemini,Summary,18,1.00,30,0.10,0
C152,College of Criminal Justice Education,4,3.60,3.70,3.3,3.5,3.2,6.8,6.4,3.3,2,9,2,ChatGPT,Brainstorming,18,1.00,30,0.10,0
C153,College of Teacher Education,2,3.10,3.25,3.4,3.7,3.3,6.7,6.2,3.5,3,12,2,Grammarly,Essay writing,15,0.99,28,0.15,0
C154,College of Engineering,1,3.10,2.95,5.8,6.1,6.5,4.5,4.2,6.1,10,42,6,ChatGPT,Coding,7,0.86,15,-0.15,1
C155,College of Computer Studies,4,3.20,3.30,3.7,4.0,4.3,6.4,5.9,4.0,4,19,3,Gemini,Problem-solving,15,0.98,26,0.10,0
C156,College of Business Administration and Accountancy,3,3.65,3.70,3.2,3.4,3.1,6.9,6.5,3.2,2,10,2,Grammarly,Proofreading,18,0.99,30,0.05,0
C157,College of Industrial Technology,1,3.35,3.25,5.0,5.3,4.8,5.2,5.7,5.0,5,14,3,ChatGPT,Problem-solving,11,1.00,21,-0.10,0
C158,College of Arts and Sciences,3,3.40,3.55,3.3,3.5,3.2,6.8,6.3,3.3,3,12,2,ChatGPT,Research,17,0.99,29,0.15,0
C159,College of International Hospitality and Tourism Management,2,3.60,3.70,3.6,3.9,3.3,6.9,6.5,3.6,2,7,2,Gemini,Summary,18,1.00,30,0.10,0
C160,College of Criminal Justice Education,1,3.65,3.75,3.2,3.4,3.1,6.9,6.5,3.2,2,8,2,ChatGPT,Brainstorming,18,1.00,30,0.10,0
C161,College of Teacher Education,4,3.15,3.30,3.3,3.6,3.2,6.8,6.3,3.4,3,11,2,Grammarly,Essay writing,16,0.99,29,0.15,0
C162,College of Engineering,3,3.05,2.90,5.9,6.2,6.6,4.4,4.1,6.2,10,45,6,ChatGPT,Coding,6,0.84,14,-0.15,1
C163,College of Computer Studies,2,3.25,3.35,3.6,3.9,4.2,6.5,6.0,3.9,3,18,3,Gemini,Problem-solving,15,0.99,27,0.10,0
C164,College of Business Administration and Accountancy,1,3.70,3.75,3.1,3.3,3.0,7.0,6.6,3.1,2,10,2,Grammarly,Proofreading,18,1.00,30,0.05,0
C165,College of Industrial Technology,4,3.40,3.30,4.9,5.2,4.7,5.3,5.8,4.9,5,12,3,ChatGPT,Problem-solving,12,1.00,22,-0.10,0
C166,College of Arts and Sciences,2,3.45,3.60,3.2,3.4,3.1,6.9,6.4,3.2,2,11,2,ChatGPT,Research,18,1.00,30,0.15,0
C167,College of International Hospitality and Tourism Management,3,3.65,3.75,3.5,3.8,3.2,7.0,6.6,3.5,2,7,2,Gemini,Summary,18,1.00,30,0.10,0
C168,College of Criminal Justice Education,2,3.70,3.80,3.1,3.3,3.0,7.0,6.6,3.1,2,8,2,ChatGPT,Brainstorming,18,1.00,30,0.10,0
C169,College of Teacher Education,1,3.20,3.35,3.2,3.5,3.1,6.9,6.4,3.3,3,10,2,Grammarly,Essay writing,17,1.00,30,0.15,0
